run_id,strings_path,encoding_used,total_lines,raw_anchor_hits,windows,strict_reconstructed_objects,candidate_fragments
CLAUDE-WIN-A-PROMPT-NOTOOL-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-PROMPT-NOTOOL-R01\dmp_triage_4492\ascii_strings_with_offsets.txt,utf-16-le,4640479,1209,78,14,56
CLAUDE-WIN-A-READ-FILE-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-READ-FILE-R01\dmp_triage_7420\ascii_strings_with_offsets.txt,utf-16-le,4582644,1205,71,15,52
CLAUDE-WIN-A-EDIT-FILE-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-EDIT-FILE-R01\dmp_triage_4876\ascii_strings_with_offsets.txt,utf-16-le,4635333,1200,66,14,47
CLAUDE-WIN-A-SHELL-COMMAND-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-SHELL-COMMAND-R01\dmp_triage_8300\ascii_strings_with_offsets.txt,utf-16-le,4626003,1230,75,14,56
CLAUDE-WIN-A-MULTIFILE-CREATE-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-MULTIFILE-CREATE-R01\dmp_triage_7536\ascii_strings_with_offsets.txt,utf-16-le,4525742,1266,94,18,63
CLAUDE-WIN-A-SETTINGS-READ-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-SETTINGS-READ-R01\dmp_triage_1544\ascii_strings_with_offsets.txt,utf-16-le,4748563,1186,79,12,59
CLAUDE-WIN-A-CLAUDEMD-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-CLAUDEMD-R01\dmp_triage_9148\ascii_strings_with_offsets.txt,utf-16-le,4548754,1441,65,12,46
CLAUDE-WIN-A-MCP-BENIGN-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-MCP-BENIGN-R01\dmp_triage_6708\ascii_strings_with_offsets.txt,utf-16-le,4611478,1354,88,15,65
CLAUDE-WIN-A-HOOK-BENIGN-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-HOOK-BENIGN-R01\dmp_triage_6804\ascii_strings_with_offsets.txt,utf-16-le,4593066,1200,69,12,51
CLAUDE-WIN-A-WEBFETCH-BENIGN-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-WEBFETCH-BENIGN-R01\dmp_triage_5624\ascii_strings_with_offsets.txt,utf-16-le,4821324,1085,69,13,48
CLAUDE-WIN-A-SKILL-BENIGN-R01,<PROJECT_ROOT>\analysis\memory\CLAUDE-WIN-A-SKILL-BENIGN-R01\dmp_triage_5720\ascii_strings_with_offsets.txt,utf-16-le,5235343,1169,60,14,43

