run_id,total_records,uuid_records,chained_records,off_spine_records,root_count,orphan_nodes,dangling_parent_links,tool_use_count,tool_result_count,matched_tool_pairs,tool_pairing_rate,primary_jsonl
CLAUDE-WIN-A-PROMPT-NOTOOL-R01,14,6,5,8,1,0,0,0,0,0,X,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-PROMPT-NOTOOL-R01\extracted\evidence\agent\user_dot_claude\projects\C--Users-<USER>\96c7e775-1b8d-40db-8617-118ee12da94b.jsonl
CLAUDE-WIN-A-READ-FILE-R01,22,14,13,8,1,0,0,3,3,3,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-READ-FILE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-read-file\c78c75c5-424f-41c4-9d35-1c7b8bcafce7.jsonl
CLAUDE-WIN-A-EDIT-FILE-R01,21,12,11,9,1,0,0,2,2,2,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-EDIT-FILE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-edit-file\5b4785e6-fda9-459f-8980-7e29855a1a36.jsonl
CLAUDE-WIN-A-SHELL-COMMAND-R01,20,12,11,8,1,0,0,2,2,2,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-SHELL-COMMAND-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-shell-command\462b3f08-b22d-41f2-80b7-609fa89fcca8.jsonl
CLAUDE-WIN-A-MULTIFILE-CREATE-R01,25,14,13,11,1,0,0,3,3,3,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MULTIFILE-CREATE-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-multifile-create\73de2d7d-6e07-466b-a1d5-64615e68b720.jsonl
CLAUDE-WIN-A-SETTINGS-READ-R01,24,16,15,8,1,0,0,2,2,2,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-SETTINGS-READ-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-settings-read\caa8cbe8-19b4-49b4-941f-d503fee0c111.jsonl
CLAUDE-WIN-A-CLAUDEMD-R01,19,11,10,8,1,0,0,1,1,1,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-CLAUDEMD-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-project-a-claudemd\461a3d8f-3f6d-419e-89b1-bb954abfca67.jsonl
CLAUDE-WIN-A-MCP-BENIGN-R01,21,13,12,8,1,0,0,2,2,2,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-MCP-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-mcp-benign\73b6ef4e-5fac-4ebc-a080-a3d08207813b.jsonl
CLAUDE-WIN-A-HOOK-BENIGN-R01,20,11,10,9,1,0,0,1,1,1,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-HOOK-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-hook-benign\c1ca60b4-69e5-46e4-a5c0-93d9e4d975d4.jsonl
CLAUDE-WIN-A-WEBFETCH-BENIGN-R01,21,13,12,8,1,0,0,2,2,2,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-WEBFETCH-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-webfetch-benign\8da79e45-631d-4fbe-a7d5-0fd2a7b1e4d9.jsonl
CLAUDE-WIN-A-SKILL-BENIGN-R01,19,11,10,8,1,0,0,1,1,1,1.000,<PROJECT_ROOT>\evidence_archive\CLAUDE-WIN-A-SKILL-BENIGN-R01\extracted\evidence\agent\user_dot_claude\projects\C--AgentForensics-projects-a-skill-benign\c1a6a7a6-497b-4c98-a043-ff19ab0bba9b.jsonl

